hero_name,kills,assists,deaths
Rubick,2,18,6
Invoker,6,1,2
Invoker,2,21,3
Invoker,6,15,6
Invoker,1,5,5
Invoker,4,22,2
Invoker,12,6,3
Invoker,5,17,2
Invoker,12,21,4
Invoker,8,20,3
Invoker,4,14,4
Invoker,6,2,3
Invoker,4,8,2
Invoker,4,13,2
Invoker,8,9,4
Rubick,2,7,5
Invoker,7,26,2
Rubick,9,19,6
Rubick,4,15,3
Invoker,3,16,0
Invoker,9,10,2
Invoker,1,12,3
Rubick,2,16,5
Rubick,5,17,4
Invoker,6,6,7
Invoker,8,11,1
Invoker,4,4,4
Invoker,7,33,3
Rubick,2,17,3
Invoker,0,8,10
Invoker,9,19,3
Invoker,7,10,4
Invoker,6,23,2
Invoker,3,4,4
Invoker,4,14,7
Invoker,10,16,2
Rubick,2,10,6
Invoker,5,14,2
Shadow Fiend,0,2,5
Shadow Fiend,4,10,10
Invoker,1,16,9
Shadow Fiend,4,1,7
Invoker,5,6,7
Invoker,3,13,7
Invoker,3,9,6
Rubick,3,11,3
Invoker,7,12,3
Invoker,2,5,1
Invoker,4,1,0
Shadow Fiend,6,16,5
Invoker,8,13,7
Invoker,1,13,1
Invoker,8,14,1
Invoker,11,20,3
Invoker,5,15,5
Invoker,14,13,5
Shadow Fiend,7,12,2
Invoker,12,10,4
Shadow Fiend,6,2,5
Shadow Fiend,4,11,6
Invoker,6,17,8
Invoker,5,14,7
Invoker,3,7,6
Rubick,3,5,0
Rubick,2,5,9
Rubick,5,8,8
Invoker,5,13,5
Rubick,7,12,7
Invoker,0,4,6
Rubick,6,10,2
Rubick,7,6,8
Shadow Fiend,11,5,3
Invoker,3,2,3
Shadow Fiend,6,17,5
Invoker,9,11,2
Rubick,2,9,6
Invoker,12,14,8
Invoker,8,8,3
Rubick,3,12,11
Invoker,5,23,5
Invoker,15,7,4
Invoker,9,12,0
Rubick,2,13,8
Invoker,7,22,2
Invoker,11,20,7
Invoker,7,18,3
Shadow Fiend,2,8,4
Shadow Fiend,12,13,4
Rubick,5,13,7
Invoker,12,9,1
Shadow Fiend,6,5,6
Invoker,4,11,1
Rubick,2,22,6
Rubick,4,14,3
Shadow Fiend,5,4,1
Rubick,2,18,5
Invoker,7,7,3
Shadow Fiend,1,6,8
Invoker,3,10,3
Shadow Fiend,2,0,5
Rubick,3,14,12
Shadow Fiend,11,13,5
Invoker,1,7,7
Shadow Fiend,12,9,3
Invoker,3,6,4
Invoker,2,3,7
Shadow Fiend,11,6,8
Shadow Fiend,5,8,7
Invoker,9,19,2
Rubick,6,15,1
Invoker,4,16,2
Invoker,9,6,2
Rubick,5,7,8
Rubick,0,11,8
Invoker,8,16,7
Shadow Fiend,2,3,8
Shadow Fiend,2,3,4
Invoker,4,8,4
Invoker,5,7,5
Invoker,9,18,5
Invoker,11,21,3
Rubick,3,8,10
Invoker,7,7,11
Invoker,1,6,5
Invoker,4,3,6
Invoker,6,8,2
Shadow Fiend,6,9,10
Invoker,4,7,7
Invoker,7,18,4
Invoker,20,16,2
Rubick,3,29,10
Invoker,7,3,3
Invoker,10,19,5
Rubick,4,4,6
Invoker,3,4,2
